Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	=	Time
151	Yerevan SU 4 (Matevosyan, Tamazyan, Topchyan)	-3	+ (59:03)	-1	-2	+1 (19:12)	.	.	.	.	.	.	.	2	98
151	Ufa S Aviation Technical U 2 (Fatkhiev, Nafikov, Shakirov)	.	+1 (65:37)	-14	.	+ (13:58)	.	.	.	.	.	.	.	2	98
153	Volgograd S Technical U 2 (Bulankin, Kovalev, Kurylev)	.	+ (86:01)	.	-2	+ (14:33)	.	.	.	.	.	.	.	2	100
154	Altai S Technical U 3 (Babushkin, Danilin, Shulga)	-1	+ (59:46)	-5	.	+1 (22:36)	.	.	.	.	.	.	.	2	101
154	Orel SU 2 (Baranov, Pyatin, Strygin)	.	+ (66:46)	-9	.	+1 (15:42)	.	.	.	.	.	.	.	2	101
156	Kazakh-British Technical U 5 (Kali, Nuptebek, Omarov)	.	+1 (52:58)	-24	-4	+1 (14:12)	.	.	.	.	.	.	.	2	106
157	Novosibirsk SU 3 (Bykova, Bykova, Filippov)	.	+ (78:04)	-1	.	+1 (10:37)	.	.	.	.	.	.	.	2	108
157	Tashkent Branch of Moscow SU 4 (Adylov, Kan, Kosimov)	.	+ (93:28)	.	.	+ (15:21)	.	.	.	.	.	.	.	2	108
159	Novosibirsk SU 2 (Isachenko, Malykh, Matveev)	-2	+ (68:42)	-13	.	+1 (23:57)	.	.	.	.	.	.	.	2	111
160	Suleyman Demirel U 3 (Nadyrmagambet, Orazgalieva, Tursynbek)	.	+ (71:13)	-9	.	+1 (34:46)	.	.	.	.	.	.	.	2	125
160	Caucasus U 1 (Chelidze, chkhetiani, kakhiani)	.	+ (102:15)	-5	.	+ (23:50)	.	.	.	.	.	.	.	2	125
162	Kazakh-British Technical U 3 (Amanov, Kurmasheva, Prenov)	-8	-2	+ (94:34)	-4	+1 (12:25)	.	.	.	.	.	.	.	2	126
163	Tomsk SU 1 (Kotov, Sakhapov, Zakharov)	.	+ (58:11)	-1	.	+2 (30:43)	-1	.	.	.	.	.	.	2	128
164	Crimean Federal U 2 (Ermachkov, Gurjiy, Korolev)	.	+ (88:22)	-4	.	+1 (25:14)	.	-4	.	.	.	.	.	2	133
165	Mozhaisky Military Space A 1 (Ilatovskiy, Kubantsev, Lukin)	-1	+1 (82:49)	-32	-1	+1 (14:45)	.	.	.	.	.	.	.	2	136
166	Innopolis U 2 (Khazhiev, Khilazhev, Umarov)	.	+ (83:07)	-5	.	+2 (14:27)	.	.	.	.	.	.	.	2	137
167	Perm SU 2 (Ivanov, Pekhotin, Volkov)	.	+ (62:36)	-4	.	+2 (38:04)	.	.	.	.	.	.	.	2	140
168	Kyrgyz Russian Slavic U 3 (Bubnov, Tropeyko, Umetov)	-5	+ (84:47)	-2	.	+1 (39:53)	.	.	.	.	.	.	.	2	143
168	Southern FU I of CompTech and InfoSec (Manych, Minasyan, Mitina)	-26	+1 (93:56)	.	.	+ (30:26)	.	.	.	.	.	.	.	2	143
170	Omsk SU 2 (Boldyr, Lemeshko, Magdin)	.	+ (74:50)	-3	.	+2 (31:39)	.	.	.	-5	.	.	.	2	145
171	Vladivostok SU of Econ and Service (Shishlo, Silchenko, Vasilchenko)	-5	+ (82:17)	.	.	+1 (44:19)	.	.	.	.	.	.	.	2	146
172	NU of Science and Technology MISiS 4 (Chirvonaya, Mayorov, Vasiljev)	.	+ (57:48)	.	-1	+3 (33:09)	-4	.	.	.	.	.	.	2	150
172	Nazarbayev U 4 (Kalidolda, Mademikhanov, Muryshkin)	.	+ (47:51)	-3	-6	+2 (63:50)	.	.	.	.	.	.	.	2	150
174	Kazan Federal U 2 (Ilikaev, Nigmatullin, Serov)	-1	+1 (98:46)	-5	.	+1 (18:52)	.	.	.	.	.	.	.	2	156
175	Free U of Tbilisi 4 (Gogia, Kharshiladze, Kvitsiani)	.	+ (150:06)	-3	.	+ (28:47)	.	.	.	.	.	.	.	2	178
176	Orel SU 1 (Barbashov, Rudanovskiy, Stavtsev)	.	+1 (107:24)	-2	.	+1 (34:13)	-1	.	.	.	.	.	.	2	181
176	Baku Engineering U 2 (Aghayev, Ashrafov, Hajili)	-1	+1 (136:34)	.	.	+ (25:10)	.	.	.	.	.	.	.	2	181
178	Kutaisi SU 1 (Butskhrikidze, Gogsadze, Leladze)	-4	+ (108:32)	-5	.	+2 (36:28)	.	.	.	.	.	.	.	2	184
179	Chelyabinsk SU 2 (Gribovskiy, Ponomarev, Zhernov)	.	+2 (105:40)	-8	.	+ (55:27)	.	.	.	.	.	.	.	2	200
180	Suleyman Demirel U 2 (Seitov, Zharkyn, Zigangirov)	.	+ (94:45)	-4	.	+3 (49:57)	.	.	.	.	.	.	.	2	203
181	Irkutsk S Technical U 1 (Chekan, Pakulev, Skorobogatov)	-6	+1 (128:52)	.	.	+2 (28:40)	.	.	.	.	.	.	.	2	216
182	Chelyabinsk SU 1 (Anfalov, Anfalova, Voronin)	.	+3 (118:39)	-14	.	+1 (21:49)	.	.	.	.	.	.	.	2	219
183	Buryat SU 1 (Badagarov, Guslyakov, Tsydypova)	-10	+ (107:57)	-4	.	+3 (57:14)	.	.	.	.	.	.	.	2	224
184	Baku HIgher Oil School (Huseynli, Piriyev, Samadli)	.	+1 (60:34)	-4	.	+4 (74:51)	.	.	.	.	.	.	.	2	234
185	Kazan National Research Technical U (Kurbanov, Maksimov, Shatunov)	-1	+3 (155:36)	.	.	+1 (15:24)	.	.	.	.	.	.	.	2	250
186	East-Siberian STU 1 (Badaev, Timofeev, Veselov)	-5	+6 (106:50)	-8	.	+1 (21:43)	.	.	.	.	-4	-1	.	2	267
187	SPb S Polytechnic U (Furman, Ivashev, Larionov)	.	+1 (112:50)	-2	.	+1 (119:52)	.	.	.	.	.	.	.	2	271
188	Novgorod SU (Ivanov, Lantsetov, Stepanov)	-2	+2 (134:16)	-1	.	+2 (58:38)	.	.	.	.	.	.	.	2	272
189	I. Javakhishvili Tbilisi SU 2 (Jokhadze, Salia, Zabakhidze)	.	+ (148:05)	.	-6	+3 (70:39)	.	.	.	.	.	.	.	2	278
190	Novosibirsk S Technical U 1 (Indikeev, Katunov, Sitnikov)	-12	+4 (137:37)	-1	.	+2 (26:57)	.	.	.	.	.	.	.	2	283
191	French-Georgian I (Chanukvadze, Rekhviashvili, Sultanishvili)	-1	+2 (197:42)	.	.	+1 (29:10)	.	.	.	.	.	.	.	2	286
192	Urgench SU (Davletov, Sabirov, Yuldashev)	-7	+ (130:51)	-4	.	+5 (60:34)	.	.	.	.	.	.	.	2	290
193	Khakas SU 1 (Bagaev, Tumoyakov, Zemlyanikin)	.	+2 (150:55)	-2	.	+2 (63:04)	.	.	.	.	.	.	.	2	293
193	Novosibirsk S Technical U 2 (Nagornov, Stabrovsky, Zhurkin)	.	+3 (166:23)	-3	-2	+1 (47:48)	.	.	.	.	.	.	.	2	293
195	Novosibirsk SU 4 (Arkhipov, Ershov, Kozlov)	.	+3 (188:31)	.	.	+1 (27:55)	.	.	.	.	.	.	.	2	295
196	Esenov Caspian SU of Tech and Eng 1 (Kassanov, Sarsenbek, Zhantileuov)	.	+5 (91:04)	-1	.	+4 (26:27)	.	.	.	.	.	.	.	2	297
196	Rubtsovsk Industrial I (Lunev, Nagih, Nagih)	-8	+3 (164:36)	.	.	+1 (53:03)	.	.	.	.	.	.	.	2	297
198	Siberian SU of Telecom and Informatics 2 (Boldakov, Ili, Renjov)	.	+4 (160:45)	-3	.	+2 (40:36)	.	.	.	.	.	.	.	2	320
198	Altai S Technical U 4 (Avanesyan, Kozlov, Rusakov)	.	+4 (164:42)	-8	.	+2 (36:01)	.	.	.	.	.	.	.	2	320
200	Novosibirsk S Technical U 3 (Ivakin, Kunts, Prokopyev)	-3	+3 (247:46)	-3	-3	+1 (18:51)	.	.	.	.	.	-4	.	2	345
201	Tyumen SU 2 (Gaiduk, Martyn, Pospelov)	.	+ (118:56)	-3	.	+5 (129:29)	.	.	.	.	.	.	.	2	347
202	Khakas SU 2 (Dron, Engel, Naletov)	-1	+ (138:16)	-5	.	+3 (153:08)	.	.	.	.	.	.	.	2	351
203	Nazarbayev U 5 (Asmatullayev, Iyembergen, Khassen)	.	+1 (82:25)	-5	-1	+7 (111:51)	.	.	.	.	.	.	.	2	353
204	American U of Armenia 2 (Bunarjyan, Harutyunyan, Zakaryan)	-1	+1 (192:52)	.	.	+3 (82:55)	.	.	.	.	.	.	.	2	354
205	Pavlodar SU named S. Toraigyrov (Sadullaev, Zhakupov, Zhussip)	-8	+ (129:20)	-1	.	+4 (155:42)	.	.	.	.	.	.	.	2	364
206	Ugra SU (Baluev, Kovalnogov, Zavyalov)	-6	+ (71:14)	-4	.	+5 (202:24)	.	.	.	.	.	-6	.	2	373
207	Buryat SU 2 (Batalov, Dambaeva, Mitypov)	.	+1 (204:25)	.	.	+3 (95:49)	.	.	.	.	.	.	.	2	379
208	Altay SU (Boyko, Ernst, Panarin)	-4	+ (124:43)	.	.	+3 (197:02)	.	.	.	.	.	.	.	2	381
209	Russian-Armenian (Slavonick) SU 3 (Petrosian, Drambyan, Bagratunyan)	-1	+1 (100:43)	-4	-1	+7 (140:32)	.	.	.	.	.	.	.	2	400
210	ADA U 3 (Farzaliyev, Gadirzada, Huseynzade)	-1	+ (203:30)	.	.	+4 (118:08)	.	.	.	.	.	.	.	2	401
211	I of Space and IT of Siberian FU 3 (Garbart, Kislov, Saenko)	-6	+3 (169:06)	-6	.	+6 (55:51)	.	.	.	.	.	.	.	2	404
212	Urgench Branch of Tashkent U of IT 2 (Abdullayev, Iskandarov, Rahimov)	.	+8 (220:52)	-2	.	+1 (16:30)	.	.	.	.	.	.	.	2	416
213	Kyrgyz Technical U 2 (Bolotbek uulu, Omuraliev, Tashiev)	.	+ (118:51)	-6	.	+9 (123:55)	.	.	.	.	.	.	.	2	421
214	Mozhaisky Military Space A 2 (FOMICHEV, Garkavenko, Kravchenko)	-4	+7 (182:34)	-3	.	+2 (64:07)	.	.	.	.	.	.	.	2	426
215	National U of Uzbekistan (Abdurakhmonov, Khasanov, Matlatipov)	-4	+8 (195:57)	-5	-3	+1 (56:18)	.	.	.	.	.	.	.	2	431
216	Karaganda S Technical U (Kim, Lavrik, Velinskiy)	-3	+ (159:58)	.	.	+4 (213:22)	.	.	.	.	.	.	.	2	452
217	Tashkent Branch of Moscow SU 3 (Gevorkyan, Makhsudov, Suyunbekova)	.	+1 (277:56)	-3	.	+6 (57:11)	.	.	.	-1	.	.	.	2	474
218	Esenov Caspian SU of Tech and Eng 2 (Aitbayev, Amangos, Junebayev)	.	+4 (197:41)	-2	.	+6 (82:33)	.	.	.	.	.	.	-3	2	479
219	Rybinsk S Aviation Technical U (Koekin, Smirnov, Spirov)	.	+10 (268:12)	-4	.	+ (18:19)	.	.	.	.	.	.	.	2	486
220	Siberian SU of Telecom and Informatics 1 (Cherdakov, Komarevtsev, Pletyuhin)	.	+6 (296:11)	-5	.	+2 (44:35)	.	.	.	.	.	.	.	2	500
221	East-Siberian STU 2 (Filippov, Tsyrempilon, Tsyrendorzhiev)	.	+4 (233:05)	.	.	+5 (89:25)	.	.	.	.	.	.	.	2	502
222	Russian-Armenian (Slavonick) SU 4 (Gevorgyan, Ghukasyan, Yeranyan)	.	+5 (284:23)	-8	.	+4 (77:20)	.	.	.	.	.	.	.	2	541
223	Suleyman Demirel U 1 (Gabdrash, Lekerov, Yerlan)	.	+4 (217:09)	.	.	+10 (69:41)	.	.	.	.	.	.	.	2	566
224	ADA U 2 (Gasimov, Hasanov, Mustafali)	.	+ (137:34)	.	.	+10 (231:16)	.	.	.	.	.	.	.	2	568
225	International Ataturk-Alatoo U 3 (Isaev, Sarygulov, Zhusubaliev)	-1	+19 (176:41)	-4	.	+ (14:51)	.	.	.	.	.	.	.	2	570
226	Tomsk SU of Control Syst and Radioel (Barkalov, Gorohov, Itskov)	-7	+10 (285:42)	-2	.	+1 (90:17)	.	.	.	.	.	.	.	2	595
227	Vilnius U 2 (Strakšys, Strimaitis, Šimoliūnaitė)	-44	+19 (245:53)	-4	.	+1 (14:41)	.	.	.	.	.	.	.	2	659
228	Kazakh-British Technical U 4 (Aitzhan, Mussinov, Temir)	-1	-1	-1	-3	+ (19:36)	-1	-1	-1	-12	-1	-1	-1	1	19
229	International Ataturk-Alatoo U 1 (Akylbek uulu, Kadyrbekov, Srazhdinov)	-6	-25	.	.	+1 (33:13)	.	.	.	.	.	.	.	1	53
230	Georgian Technical U (Madzgarashvili, Gasanov, Shavardenidze)	.	-9	-3	.	+2 (32:23)	.	.	.	.	.	.	.	1	72
231	International IT U 3 (Abdrashim, Auganov, Moldagaliyev)	.	-21	.	.	+3 (37:09)	.	.	.	-20	.	.	.	1	97
232	Surgut SU (Borisov, Masniy, Shaymardanov)	-1	+1 (98:48)	.	.	-11	.	.	.	.	.	.	.	1	118
233	Irkutsk S Technical U 2 (Kuroptev, Litvincev, Ushakov)	-4	+ (122:14)	.	.	-8	.	.	.	.	.	.	.	1	122
234	Omsk SU 1 (Gorbunov, Marchenko, Skripov)	-6	+ (135:36)	-2	.	-6	.	-2	.	.	.	-1	.	1	135
235	American U of Armenia 3 (Bezirganyan, Sarikyan, Shahumyan)	.	-29	-3	.	+4 (64:25)	.	.	.	.	.	.	.	1	144
236	Eurasian NU 4 (Abdikalikova, Tileubergenov, Zakrikchinov)	-2	+3 (94:18)	.	.	-5	.	.	.	.	.	.	.	1	154
237	Karaganda S Industrial U (Kim, Prokhorovich, Yusupov)	.	+ (161:48)	.	.	-4	.	.	.	.	.	.	.	1	161
238	Andijan Machine Building I 2 (Abduhalilov, Iminov, Mamajonov)	.	+6 (112:17)	.	.	-16	.	.	.	.	.	.	.	1	232
239	Baku SU (Qarayev, Sofiyev, Zeynalzade)	-1	-1	.	.	+4 (170:52)	.	.	.	.	.	.	.	1	250
240	Suleyman Demirel U 4 (Kabirov, Kuat, Nassibullina)	.	+ (253:16)	.	.	-9	.	.	.	.	.	.	.	1	253
241	St Andrew the First-Called Georgian U 1 (Chubinidze, Khundzakishvili, Tsotne)	-2	.	.	.	+8 (110:26)	.	.	.	.	.	.	.	1	270
242	I of Space and IT of Siberian FU 4 (Molodan, Spiridonov, Vagner)	-8	-5	-3	.	+4 (195:31)	.	.	.	.	.	.	.	1	275
243	Kutaisi SU 2 (Gogiava, Khantadze, Kldiashvili)	.	+4 (260:28)	.	.	-6	.	.	.	.	.	.	.	1	340
244	Chita SU (Belov, Chernykh, Khazagarov)	-23	-7	.	.	-11	.	.	.	.	.	.	.	0	0
244	Norilsk Industrial I (Dobrovolsky, Lukjanchikov, Makarov)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
244	Krasnoyarsk S Pedagogical U (Gilyazov, Stankovskii, Strelnikova)	.	-4	.	.	-4	.	.	.	.	.	.	.	0	0
244	Novosibirsk S Pedagogical U (Belikov, Kirilenko, Kuznecov)	.	-5	.	.	-6	.	.	.	.	.	.	.	0	0
244	Almaty U of Power Eng and Telecom 1 (Bakijev, Bolatov, Usserbaev)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
244	Kyrgyz Russian Slavic U 1 (Asanov, Niyazova, Shevchenko)	.	-8	.	.	-11	.	.	.	.	.	.	.	0	0
244	KazakhNU named Al-Farabi 3 (Kasym, Yerbulatuly, Zhassulan)	.	.	.	.	-12	.	.	.	.	.	.	.	0	0
244	Namangan SU (Karimov, Umarov, Yuldashev)	.	-22	.	.	-8	.	.	.	.	.	.	-2	0	0
244	Inha U in Tashkent (Khoshimjonov, Oripjonov, Tojimahammatov)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
244	KazakhNU named Al-Farabi 4 (Aldiyarov, Togizbay, Zhassuzak)	.	-9	.	.	-2	.	.	.	.	.	.	.	0	0
244	Kazakh Turkish U named H.A.Yassawe (Seydulla, Taspolat, Usen)	.	.	.	.	-10	.	.	.	.	.	.	.	0	0
244	KazakhNU named Al-Farabi 1 (Amanbayev, Batyr, Paizov)	.	.	.	.	-4	.	.	.	.	.	.	.	0	0
244	International Ataturk-Alatoo U 2 (Akunova, Urmatbekov, Zhalieva)	-6	-5	.	.	-6	.	.	.	.	.	.	.	0	0
244	KazakhNU named Al-Farabi 2 (Kassymbek, Kenzhebek, Mustafin)	-11	-1	.	.	-10	.	.	.	.	.	.	.	0	0
244	American U - Central Asia 3 (Ruslanov, Seidaliev, Soltonoev)	.	.	.	.	-7	.	.	.	.	.	.	.	0	0
244	Eurasian NU 3 (Nagmetulla, Orynbassar, Pulanbekov)	-9	.	.	.	-7	.	.	.	.	.	.	.	0	0
244	Kyrgyz-Turkey Manas U 2 (Kalmanbetov, Muhtarov, Myktybekov)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
244	Fergana Branch of Tashkent U of IT 1 (Ahmadjonov, Gafurov, Sattorov)	.	.	.	.	-11	.	.	.	.	.	.	.	0	0
244	Kyrgyz Technical U 1 (Baigaziev, Ergeshov, Samudinova)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
244	Almaty U of Power Eng and Telecom 2 (Isabekov, Nuraliyeva, Ovezov)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
244	KazakhNU named Al-Farabi 5 (Abilov, Yerimbetov, Zhagparov)	.	.	.	.	-1	.	.	.	.	.	.	.	0	0
244	Kyrgyz-Turkey Manas U 1 (Alybaev, Komar, Kudaiberdi uulu)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
244	Eurasian NU 2 (Kundebekov, Nurbek, Sultan)	-1	-7	.	.	-9	.	.	.	.	.	.	.	0	0
244	Andijan Machine Building I 1 (Jumaboyev, Tohirov, Xamraqulov)	.	-1	.	.	-3	.	.	.	.	.	.	.	0	0
244	Ufa S Aviation Technical U 3 (Kasymov, Orlov, Zaripov)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
244	Caucasus U 2 (Gurgenidze, Japaridze, Kurdadze)	.	-1	.	.	-15	.	.	.	.	.	.	.	0	0
244	Batumi SU (Beria, Giorgadze, Kakhidze)	-4	-1	.	.	-3	.	.	.	.	.	.	.	0	0
244	I. Javakhishvili Tbilisi SU 4 (Aptsiauri, Gobronidze, Shekiladze)	.	-1	.	.	-14	.	.	.	.	.	.	.	0	0
244	Azerbaijan U (Abbaszadeh, Habibli, Zakirli)	.	-19	.	.	-2	.	.	.	.	.	.	.	0	0
244	I. Javakhishvili Tbilisi SU 1 (Dzmanashvili, Shonia, Vardishvili)	-6	-3	-1	.	-8	.	.	.	.	.	.	.	0	0
244	Tbilisi European U (Arabuli, Dolidze, Podiashvili)	.	.	.	.	-5	.	.	.	.	.	.	.	0	0
	Total runs	703	712	898	438	800	140	29	1	166	35	69	152
	Accepted	72	239	131	91	235	27	3	0	23	3	3	23
	Rejected	631	473	767	347	565	113	26	1	143	32	66	129
	First Accept	41:54	16:45	20:31	66:13	5:40	69:44	216:01		103:23	115:28	171:26	94:23
	Last Accept	298:34	299:41	299:55	295:16	283:49	299:18	290:09		299:39	286:47	289:13	291:27
