Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	M	=	Time	Medal
47	Moscow IPT 2 (Alekseev, Kolodzey, Ivashchenko)	+2 (249:00)	.	-5	.	+1 (51:35)	+ (70:34)	+ (32:42)	.	.	.	-4	+1 (12:23)	+4 (264:34)	6	838	
48	Moscow IPT 4 (Khismatullin, Grishutin, Zhidkov)	+2 (240:54)	.	-1	.	+ (51:50)	+ (100:05)	+1 (33:19)	.	.	.	.	+ (37:15)	+4 (243:09)	6	844	
48	Baltic FU (Naumov, Chernozhukov, Kozhunov)	+1 (128:25)	.	-3	.	+ (59:03)	+ (238:28)	+ (69:34)	.	.	.	.	+ (38:14)	+1 (272:17)	6	844	
50	Georgian TU 1 (Salia, Bezhashvili, Tabatadze)	+1 (118:17)	.	.	.	+ (53:00)	+1 (194:37)	+1 (38:15)	.	.	.	.	+ (19:51)	+5 (268:15)	6	850	
51	SPb br of NRU HSE 3 (Yutman, Alferov, Tukh)	+1 (219:25)	.	-9	.	+ (25:52)	+ (97:22)	+ (64:40)	.	.	.	.	+ (61:30)	+4 (289:04)	6	855	
52	Vyatka SU (Dehterev, Prozorova, Smirnov)	+2 (297:40)	.	.	.	+ (67:30)	+ (89:42)	+ (42:45)	.	.	.	.	+ (51:30)	+ (294:56)	6	880	
53	Belarusian SU 4 (Babashau, Merkis, Stsiapanau)	+4 (208:50)	.	.	.	+ (75:16)	+ (104:52)	+ (30:18)	.	.	.	.	+1 (40:34)	+4 (264:39)	6	901	
54	Innopolis U 3 (Badour, Gaivoronskiy, Mullanurov)	+4 (293:04)	.	.	.	+3 (107:51)	+ (204:42)	+ (48:29)	.	.	.	.	+ (26:10)	+1 (290:17)	6	1128	
55	Novosibirsk SU 1 (Arkhipov, Mokrousov, Matveev)	+3 (230:09)	.	.	.	+3 (79:39)	+4 (224:00)	+ (77:07)	.	.	.	.	+ (34:06)	+ (290:56)	6	1134	
56	NUST MISiS 4 (Romanov, Mayorov, Tarannikov)	+9 (294:11)	.	.	.	+1 (126:12)	+ (134:50)	+2 (56:41)	.	.	.	.	+ (28:34)	+3 (275:24)	6	1213	
57	Petrozavodsk SU 1 (Alkin, Ermolin, Kobeleva)	+2 (220:05)	.	-3	.	+2 (83:36)	+ (158:31)	+4 (199:05)	.	.	.	.	+1 (67:43)	+2 (288:21)	6	1235	
58	Belarusian SU 3 (Melnichenka, Kazlouski, Serankou)	+1 (109:14)	.	.	.	+ (24:05)	+ (53:53)	+ (41:54)	.	.	.	-1	+ (33:11)	-3	5	280	
59	Perm SU 3 (Buzmakov, Tsaplin, Chibisov)	-12	.	.	.	+ (24:21)	+ (57:49)	+ (45:23)	.	.	.	.	+ (36:55)	+ (232:44)	5	394	
60	Ufa SATU 2 (Agishev, Kryukov, Valiev)	-5	.	.	.	+1 (60:11)	+ (86:40)	+ (35:43)	.	.	.	-4	+ (17:21)	+ (189:21)	5	407	
61	Samara NRU 2 (Kaymakov, Dzekh, Fattakhov)	+ (200:07)	.	-3	.	+ (56:00)	+ (108:48)	+ (36:26)	.	.	.	.	+ (26:57)	.	5	426	
62	NUST MISiS 3 (Piskevich, Dobrynin, Kodosov)	+ (174:56)	.	.	.	+ (44:18)	+ (123:49)	+ (57:31)	.	.	.	.	+1 (31:39)	.	5	449	
63	American U Central Asia 1 (Zhusubaliev, Ree, Derkenbaev)	+ (178:00)	.	.	.	+ (82:47)	+ (102:16)	+1 (48:38)	.	.	.	.	+ (24:05)	-7	5	454	
