Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
133	Perm State University 2 (Bakhtin, Chesnokov, Smirnov)	+1 (67:38)	+4 (214:20)	.	.	.	.	.	.	.	+ (101:58)	+1 (57:21)	4	559
134	International IT University 4 (Tlegen, Abuov, Maksut)	+1 (27:22)	-80	.	.	.	+5 (259:51)	.	.	.	+4 (86:26)	+ (23:56)	4	595
135	Petrozavodsk State University 2 (Shapovalov, Golovachuk, Kukushkin)	+1 (111:00)	+ (163:35)	.	.	.	+1 (242:10)	.	.	.	-1	+1 (37:22)	4	613
136	Nazarbayev University 1 (Akzholov, Khaitov, Orynkul)	+ (49:26)	+4 (178:54)	.	.	.	+1 (278:08)	.	.	.	-11	+ (21:40)	4	626
137	Novosibirsk STU 2 (Kunts, Prokopyev, Rogoza)	+ (28:28)	-11	.	.	.	+1 (266:30)	.	.	.	+ (129:41)	+3 (135:20)	4	638
138	Perm State University 3 (Vorobieva, Lavrikov, Nikolaev)	+ (51:40)	+4 (290:40)	.	.	.	-1	.	.	-1	+3 (154:07)	+ (59:46)	4	694
139	Suleyman Demirel University 2 (Abdraimov, Nurgaziyev, Turapbekov)	+4 (66:48)	+4 (258:10)	.	.	.	-1	.	.	.	+ (97:41)	+1 (143:54)	4	744
140	Yerevan SU 2 (Galstyan, Karagulyan, Hambardzumyan)	+ (29:49)	+3 (294:53)	.	.	.	+3 (257:15)	.	.	.	-2	+ (52:01)	4	752
141	Yerevan SU 3 (Khechoyan, Harutyunyan, Aghajanyan)	+5 (135:55)	+1 (293:50)	.	.	.	.	.	.	.	+ (202:32)	+ (45:12)	4	795
142	Tashkent University of Information Technologies 4 (Sunnatullayev, Otajonov, Hasanov)	+2 (86:12)	.	.	.	.	+4 (293:23)	.	.	.	+ (205:22)	+ (110:50)	4	814
143	Tomsk PU 1 (Kuzivanov, Sannikov, Savvinov)	+1 (18:19)	+12 (267:27)	.	.	.	+6 (225:53)	.	.	.	.	+ (32:02)	4	922
144	Qafqaz U 1 (Valiyev, Ahmadov, Hajiyev)	+1 (50:08)	+11 (216:40)	.	.	.	.	.	.	.	+5 (292:08)	+ (43:47)	4	941
145	Buryat SU (Krivonosov, Maltzev, Nikolaevsky)	+1 (23:37)	+20 (274:33)	.	.	.	.	.	.	.	+3 (168:34)	+6 (151:22)	4	1216
146	Moscow State Engineering Physics Institute 2 (Khazov, Ignatov, Gridasov)	+ (48:09)	-9	.	.	.	-1	.	.	.	+ (52:07)	+ (34:58)	3	134
147	Novosibirsk STU 3 (Sidorov, Soloviev, Vodostoeva)	+ (56:49)	-4	.	.	.	.	.	.	.	+1 (75:15)	+ (24:13)	3	175
148	Free U of Tbilisi 4 (Matiashvili, Gogolidze, Pataraia)	+ (25:12)	-18	.	.	.	-1	.	.	.	+1 (103:25)	+ (44:49)	3	192
149	IMCS of Siberian FU 2 (Goncharik, Nesterenko, Petrakov)	+ (51:53)	+1 (105:32)	.	.	.	.	.	.	.	-4	+1 (33:10)	3	229
150	Irkutsk SRU (Fedotov, Khonyakov, Mukhometzianov)	+ (35:01)	-7	.	.	.	.	.	.	.	+ (145:37)	+ (61:44)	3	241
151	Izhevsk State Technical University 3 (Filimonov, Tatarinov, Bulatov)	+ (17:42)	+3 (157:22)	.	.	.	.	.	.	.	-4	+ (34:08)	3	268
152	Udmurt State University (Kotelnikov, Korablinov, Khalimov)	+2 (64:09)	+ (161:58)	.	.	.	.	.	.	.	-4	+ (20:28)	3	285
153	Tashkent University of Information Technologies 3 (Sharapov, Sharipov, Nasriddinov)	+ (10:48)	-18	.	.	.	.	.	.	.	+4 (183:53)	+ (30:09)	3	303
154	Moscow Aviation Institute 2 (Ilvokhin, Danilychev, Tortsev)	+ (47:55)	.	.	.	.	-7	.	.	.	+2 (199:20)	+ (32:45)	3	318
155	Kyrgyz-Russian Slav U (Akparaliev, Pechjorov, Sapozhnikov)	+ (37:42)	.	.	.	.	+ (266:20)	.	.	.	-7	+ (22:36)	3	325
156	SPb SU of Telecommunications (Tarasov, Kiselev, Yastrebov)	+1 (22:00)	-9	.	.	.	+ (236:04)	.	.	.	-2	+ (58:45)	3	336
157	ISIT of Siberian FU 2 (Melnikov, Platonov, Zelenin)	+1 (136:18)	-5	.	.	.	.	.	.	.	+1 (99:05)	+ (74:10)	3	349
158	Tbilisi SU 1 (Baramidze, Doliashvili, Chikvinidze)	+ (35:28)	+1 (147:41)	.	.	.	.	.	.	.	-2	+3 (89:20)	3	351
159	Russian-Armenian (Slavonick) SU 1 (Arakelyan, Seyranyan, Hakobyan)	+1 (20:14)	-8	.	.	.	-1	.	.	.	+2 (226:12)	+ (54:36)	3	360
160	Ivanovo State Power University (Shoronov, Nikonov, Pospelov)	+2 (54:53)	-4	.	.	.	.	.	.	.	+1 (190:26)	+ (62:15)	3	366
161	Omsk SU 1 (Belousov, Shatov, Uskov)	+ (28:49)	.	.	.	.	+3 (277:42)	.	.	.	-6	+ (54:36)	3	419
162	Altai STU 3 (Lopatin, Oreschenko, Zyablitskiy)	+ (60:27)	-4	.	.	.	.	.	.	.	+3 (283:33)	+ (39:22)	3	442
163	Baikal SU of Econ and Law (Golyandin, Leonov, Savin)	+ (43:56)	+4 (268:23)	.	.	.	.	.	.	.	-5	+ (78:20)	3	469
164	Kyrgyz STU (Alimbaev, Halikov, Kasymov)	+2 (64:57)	.	.	.	.	.	.	.	-2	+2 (282:06)	+1 (48:44)	3	494
165	National University of Uzbekistan 2 (Li, Abdikamalov, Kasimov)	+ (44:30)	.	.	.	.	.	.	.	.	+1 (292:59)	+2 (102:09)	3	498
166	Tashkent Islamic University (Abdurasulov, Husanov, Mullamuhamedov)	+ (162:50)	.	.	.	.	.	.	.	.	+4 (115:06)	+ (146:00)	3	503
167	Free U of Tbilisi 2 (Lomitashvili, Giglemiani, Machavariani)	+6 (131:26)	-13	.	.	.	.	.	.	.	+1 (206:55)	+ (57:58)	3	534
168	Kostanay State University named A. Baitursynov (Kairbekova, Shimanskiy, Ponomarenko)	+6 (128:34)	-1	.	.	.	.	.	.	.	+2 (256:02)	+ (82:36)	3	626
169	Russian-Armenian (Slavonick) SU 5 (Mkrtchyan, Igityan, Terunyan)	+5 (122:05)	-1	.	.	.	.	.	.	.	+4 (257:11)	+3 (238:59)	3	857
170	Tashkent University of Information Technologies Urgench 2 (Yusupov, Aminov, Sultonov)	+7 (155:53)	.	.	.	.	.	.	.	.	+12 (299:53)	+ (60:01)	3	894
171	Tashkent University of Information Technologies Urgench 1 (Akhmedov, Kutliboyev, Sadullayev)	+1 (53:54)	-7	.	.	.	.	.	.	.	-5	+ (31:15)	2	104
172	National University of Uzbekistan 1 (Shopo'latov, Qulboyev, Pirnapasov)	+ (66:28)	.	.	.	.	.	.	.	.	-7	+ (40:54)	2	106
173	Tbilisi SANGU 1 (Ghutishvili, Kavtaradze, Bostoghanashvili)	+ (29:25)	.	.	.	.	.	.	.	.	-2	+ (78:11)	2	107
174	Karaganda STU (Gekkel, Marushka, Zalutskiy)	+ (23:58)	-7	.	.	.	.	.	.	.	-2	+1 (90:00)	2	133
175	Georgian Tech U 1 (Darchiashvili, Mikeladze, Darchiashvili)	+ (55:14)	.	.	.	.	.	.	.	.	-4	+ (90:36)	2	145
176	Russian-Armenian (Slavonick) SU 4 (Oganesyan, Gevorgyan, Lalayan)	+1 (60:13)	.	.	.	.	.	.	.	.	-4	+1 (46:56)	2	146
177	Omsk STU 2 (Chumlyakov, Denisov, Suprun)	+ (88:12)	.	.	.	.	.	.	.	.	-3	+ (60:48)	2	148
178	Moscow State University - Tashkent 3 (Vavilov, Gorojanin, Kamilov)	+ (97:12)	.	.	.	.	.	.	.	.	-5	+ (54:37)	2	151
179	SEUA 1 (Andriasyan, Manukyan, Adamyan)	+ (105:30)	-2	.	.	.	.	.	.	.	-1	+ (50:09)	2	155
180	Tbilisi SU French-Georgian Institute (Abramishvili, Darchiashvili, Chakhvadze)	+ (43:53)	.	.	.	.	.	.	.	.	-5	+2 (73:02)	2	156
181	Qafqaz U 3 (Aliyev, Huseynov, Allahverdiyev)	+ (104:38)	.	.	.	.	.	.	.	.	-4	+ (57:30)	2	161
182	Qafqaz U 2 (Mammadov, Sarayev, Hasanov)	+1 (85:36)	-7	.	.	.	.	.	.	.	.	+1 (37:21)	2	162
183	Tbilisi SU 5 (Dzotsenidze, Arabidze, Vardanidze)	+ (62:47)	.	.	.	.	.	.	.	.	-1	+ (109:03)	2	171
184	Siberian SUTI 2 (Dryanitsyn, Kovalev, Vedrintsev)	+1 (68:12)	-4	.	.	.	.	.	.	.	-2	+2 (48:03)	2	176
185	Taurida Vernadsky National University 2 (Voinovsky, Zavgorodny, Korobov)	-7	.	.	.	.	.	.	.	.	+2 (106:08)	+ (35:10)	2	181
186	Kazakh Turkish University named Hoja Akhmed Yassawe 1 (Syzdykov, Kydyrbaiuly, Bekesh)	+ (36:03)	.	.	.	.	.	.	.	.	.	+2 (109:43)	2	185
