Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	M	=	Time
42	SPb ITMO University 4 (Berinchik, Kisialiou, Korchagin)	+ (42:57)	.	.	.	+3 (248:47)	+1 (58:09)	.	+1 (88:24)	.	+7 (224:46)	.	.	.	5	900
43	SPb State University 4 (Alekseev, Novikov, Petrov)	+3 (62:40)	.	.	.	+2 (254:29)	+ (138:40)	.	+4 (119:50)	.	-8	-1	+ (212:49)	.	5	965
44	South Ural State University 1 (Ashikhmin, Sapronov, Shaveinikov)	+2 (204:31)	.	.	.	+1 (166:46)	+ (131:59)	.	+2 (105:25)	.	+1 (250:58)	.	.	.	5	976
45	Izhevsk State Technical University 1 (Bulatov, Filimonov, Tatarinov)	+ (64:25)	.	.	.	+1 (271:19)	+ (99:42)	.	+2 (107:21)	.	+8 (275:57)	.	.	.	5	1036
46	SPb State University 5 (Bochkov, Gaevoy, Ginzburg)	+4 (178:29)	.	.	.	+ (267:31)	+ (110:03)	.	+2 (83:41)	.	+3 (224:04)	.	.	.	5	1042
47	Ural Federal University 3 (Khanova, Mullabaev, Permyakov)	+2 (158:43)	.	.	.	+ (295:39)	+1 (166:18)	.	+3 (153:34)	.	+1 (258:19)	.	.	.	5	1170
48	South Ural State University 2 (Lyzhin, Petrov, Romass)	+3 (149:45)	.	.	.	+ (281:47)	+ (180:40)	.	+1 (137:07)	.	+3 (288:31)	.	.	.	5	1175
49	Northern (Arctic) Federal University (Guriev, Popovich, Sysoeva)	+ (26:01)	.	.	.	.	+1 (73:23)	.	+ (51:35)	.	+ (161:26)	.	.	.	4	331
50	Free University of Tbilisi 1 (Guliashvili, Skhirtladze, Tskhovrebov)	+ (88:49)	.	.	.	.	+ (68:34)	.	+ (49:45)	.	+ (138:51)	-1	.	.	4	343
51	Belarusian State University 3 (Kim, Lukyanov, Vityaz)	+ (89:55)	.	.	.	-8	+ (58:29)	.	+1 (62:30)	.	+ (164:18)	.	.	.	4	393
52	SPb ITMO University 3 (Latyshev, Naumov, Turaev)	+1 (83:50)	.	.	.	.	+ (86:05)	.	+ (64:37)	.	+2 (165:01)	.	.	.	4	458
53	NU of Science and Technology MISiS 1 (Lopatnikov, Lopukhov, Ovchinkin)	+ (83:44)	.	.	.	+ (115:51)	+ (157:37)	.	+3 (59:47)	.	-5	.	.	.	4	474
54	Far Eastern State Transportation University (Pisaniy, Seredkin, Usmanov)	+ (44:01)	.	.	.	+ (175:31)	+3 (145:36)	.	+ (75:51)	.	-7	.	.	.	4	499
55	Yaroslavl State University 1 (Akhremenko, Krainov, Toropova)	+ (48:37)	.	.	.	.	+ (107:02)	.	+ (95:22)	.	+1 (237:25)	.	.	.	4	507
56	Higher School of Economics 4 (Mokriy, Posobin, Sabyanin)	+ (52:04)	.	.	.	-3	+ (73:29)	.	+1 (109:15)	.	+3 (194:36)	.	.	.	4	508
57	Qafqaz University 1 (Allahverdiyev, Mammadli, Mammadov)	+ (60:12)	.	.	.	+ (235:37)	+ (139:54)	.	+ (89:02)	.	-3	.	.	.	4	523
58	Higher School of Economics 5 (Fedorov, Gladkov, Zimin)	+2 (121:48)	.	.	.	+ (164:44)	+ (56:14)	.	+1 (130:10)	.	-8	.	.	.	4	531
59	Kazakh-British Technical University 2 (Aitzhan, Kenzhegaliyev, Mussinov)	+ (63:30)	.	.	.	+ (253:08)	+ (126:11)	.	+ (97:36)	.	-1	.	.	.	4	539
60	Moscow Institute of Physics and Technology 5 (Kalinin, Makarov, Mosyagin)	+1 (35:28)	.	.	.	.	+2 (112:15)	.	+1 (85:18)	.	+2 (198:23)	.	.	.	4	550
61	Orenburg State University (Larin, Moskaleva, Pilipenko)	+1 (64:01)	.	.	.	+1 (210:00)	+ (117:30)	.	+1 (100:32)	.	-4	.	.	.	4	551
62	Voronezh State University 2 (Kuznetsov, Minaev, Perunov)	+ (101:15)	.	.	.	+1 (224:02)	+1 (123:58)	.	+ (64:39)	.	-14	.	.	.	4	552
63	Belarusian SU of Informatics and Radioelectronics 2 (Darashkevich, Razhkou, Tsiliupa)	+1 (44:20)	.	.	.	+ (190:01)	+1 (141:03)	.	+3 (85:05)	.	-1	.	.	.	4	560
64	American University of Armenia 1 (Gevorgyan, Hayrapetyan, Mirakyan)	+ (68:18)	.	.	.	+3 (231:39)	+ (56:52)	.	+1 (130:17)	.	-6	.	.	.	4	565
65	Kazakh-British Technical University 5 (Tolegenov, Toremuratuly, Zhussupov)	+ (55:36)	.	.	.	+1 (183:37)	+ (129:04)	.	+3 (132:04)	.	-15	.	.	.	4	579
66	International IT University 1 (Kim, Satylkhanov, Sultan)	+2 (95:16)	.	.	.	+ (198:02)	+ (112:38)	.	+2 (97:46)	.	-4	.	.	.	4	582
67	Voronezh State University 1 (Nogikh, Skobaneva, Zemlyanuhin)	+3 (81:08)	.	.	.	.	+ (90:54)	.	+2 (86:20)	.	+3 (200:50)	.	.	.	4	617
68	Belarusian State University 2 (Shaftsialevich, Vasileuski, Zdanovich)	+ (109:50)	.	.	.	.	+ (92:11)	.	+ (48:31)	.	+7 (230:49)	.	.	.	4	619
69	Ulyanovsk State Technical University (Gorshkov, Kashichkin, Kondratiev)	+2 (111:08)	.	.	.	+ (210:36)	+ (214:14)	.	+ (70:26)	.	.	.	.	.	4	645
70	Astrakhan State University (Ilmensky, Kolesnikov, Sidorov)	+ (60:12)	.	.	.	.	+2 (149:48)	.	+ (143:33)	-4	+1 (271:28)	.	.	.	4	683
71	International ATATURK-ALATOO University 1 (Isaev, Kenzhaliev, Zhusubaliev)	+4 (158:15)	.	.	.	+ (196:33)	+ (118:39)	.	+ (156:56)	.	-2	.	.	.	4	708
72	Moscow State University 2 (Chufarovskiy, Khalin, Ozhiganov)	+ (45:41)	.	.	.	.	+4 (141:25)	.	+ (120:15)	.	+2 (287:03)	.	.	.	4	713
73	Tyumen Industrial University (Artemov, Mambetov, Nevtyra)	+2 (138:56)	.	.	.	.	+ (158:44)	.	+2 (79:29)	.	+2 (244:01)	.	.	.	4	739
74	Ural Federal University 5 (Arapova, Bazun, Smirnov)	+ (106:00)	.	.	.	.	+2 (124:34)	.	+1 (77:25)	.	+7 (294:53)	.	.	.	4	801
75	Tyumen State University (Avriskin, Ivanov, Yagudin)	+1 (191:51)	.	.	.	+2 (249:13)	+1 (208:30)	.	+ (74:55)	-1	.	.	.	.	4	802
76	Free University of Tbilisi 2 (Abuladze, Pataraia, Sakhelashvili)	+ (76:27)	.	.	.	+5 (285:13)	+ (161:31)	.	+2 (146:36)	.	.	.	.	.	4	808
77	Crimean Federal University 1 (Alekseeva, Bidanets, Voinovsky)	+ (122:20)	.	.	.	+3 (297:17)	+ (210:39)	.	+6 (137:00)	.	.	.	.	.	4	946
78	Higher School of Economics 1 (Danilyuk, Kalashnikov, Svyatokum)	+ (277:53)	-13	.	.	.	+ (286:02)	+6 (174:23)	.	-3	.	+ (133:40)	.	.	4	990
79	Ural Federal University 4 (Ankudinov, Borzunov, Stikhin)	+ (19:18)	.	.	.	-1	+ (78:05)	.	+1 (68:31)	.	-9	.	.	.	3	185
80	Udmurt State University (Korablinov, Nikitin, Sidorov)	+ (47:58)	.	.	.	.	+ (75:36)	.	+ (130:57)	.	.	.	.	.	3	252
81	Kazakh-British Technical University 1 (Aman, Amanov, Nurmash)	+ (92:04)	-11	.	.	.	+ (76:59)	.	+1 (80:00)	.	.	.	.	.	3	268
82	Samara National Research University 2 (Dimitrov, Fattakhov, Nugmanov)	+1 (52:16)	.	.	.	.	+ (97:10)	.	+ (112:37)	.	.	.	.	.	3	281
83	Ufa State Aviation Technical University 1 (Agishev, Fatkhiev, Surkov)	+ (141:13)	.	.	.	.	+ (87:10)	.	+ (72:32)	.	-3	.	.	.	3	300
84	International Black Sea University 1 (Mamaiashvili, Morchiladze, Svanidze)	+1 (37:49)	.	.	.	.	+ (120:07)	.	+4 (80:59)	.	-39	.	.	.	3	337
85	Russian-Armenian (Slavonick) State University 2 (Ioanisyan, Lalayan, Oganesyan)	+ (109:04)	.	.	.	.	+1 (210:52)	.	+1 (59:56)	.	-1	.	.	.	3	418
85	Altai State Technical University 3 (Lopatin, Renjov, Zyablitskiy)	+ (77:37)	.	.	.	.	+ (222:50)	.	+ (119:23)	.	-4	.	.	.	3	418
87	NU of Science and Technology MISiS 2 (Kualgin, Romanov, Tropin)	+ (102:31)	.	.	.	-4	+ (206:45)	.	+ (123:48)	.	.	.	.	.	3	431
88	Kazakh-British Technical University 3 (Bolatbekov, Amanov, Akhanov)	+ (147:30)	.	.	.	.	+ (214:21)	.	+1 (78:03)	.	.	.	.	.	3	459
89	Yerevan State University 2 (Gomktsyan, Mkrtumyan, Muradyan)	+1 (184:24)	.	.	.	.	+2 (142:19)	.	+1 (60:21)	.	-6	.	.	.	3	466
90	Russian-Armenian (Slavonick) State University 1 (Arakelyan, Grigoryan, Saryan)	+ (204:30)	.	.	.	.	+ (143:34)	.	+1 (102:14)	.	-2	.	.	.	3	469
91	Kazakh-British Technical University 4 (Bekbergen, Nezametdinov, Seydazimov)	+ (39:03)	.	.	.	.	+ (201:08)	.	+2 (204:52)	.	.	.	.	.	3	484
